Stand;Kanton;Jahr;Stufe;Schultyp;Geschlecht;Nationalitaet;Traegerschaft;Finanzierung;Anzahl
16.11.2020;tg;2008;Sekundarstufe I;Volksschule;M;CH;oef;oef;3570
16.11.2020;tg;2008;Sekundarstufe II;Brückenangebot;M;CH;oef;oef;89
16.11.2020;tg;2008;Sekundarstufe II;Mittelschule;M;CH;priv;priv;38
16.11.2020;tg;2008;Sekundarstufe II;Berufsfachschule;M;Ausländer;priv;priv;7
16.11.2020;tg;2008;Sekundarstufe II;Mittelschule;F;Ausländer;priv;priv;7
16.11.2020;tg;2008;Sekundarstufe II;Brückenangebot;M;CH;priv;priv;30
16.11.2020;tg;2008;Sekundarstufe II;Brückenangebot;F;CH;oef;oef;200
16.11.2020;tg;2008;Sekundarstufe II;Mittelschule;F;CH;oef;oef;1204
16.11.2020;tg;2008;Sekundarstufe II;Brückenangebot;M;Ausländer;priv;priv;1
16.11.2020;tg;2008;Sekundarstufe II;Berufsfachschule;F;Ausländer;priv;priv;12
16.11.2020;tg;2008;Sekundarstufe II;Berufsfachschule;F;CH;oef;oef;1829
16.11.2020;tg;2008;Sekundarstufe II;Berufsfachschule;F;CH;priv;priv;73
16.11.2020;tg;2008;Sekundarstufe II;Brückenangebot;F;CH;priv;priv;26
16.11.2020;tg;2008;Sekundarstufe II;Mittelschule;M;Ausländer;priv;priv;10
16.11.2020;tg;2008;Sekundarstufe II;Heim- und Sonderschule;M;Ausländer;priv;oef;1
16.11.2020;tg;2008;Sekundarstufe II;Berufsfachschule;M;Ausländer;oef;oef;486
16.11.2020;tg;2008;Sekundarstufe II;Heim- und Sonderschule;M;CH;priv;oef;6
16.11.2020;tg;2008;Sekundarstufe II;Heim- und Sonderschule;F;Ausländer;priv;oef;2
16.11.2020;tg;2008;Sekundarstufe II;Mittelschule;F;Ausländer;oef;oef;116
16.11.2020;tg;2008;Sekundarstufe II;Berufsfachschule;F;Ausländer;oef;oef;282
16.11.2020;tg;2008;Sekundarstufe II;Mittelschule;M;Ausländer;oef;oef;59
16.11.2020;tg;2008;Sekundarstufe II;Brückenangebot;F;Ausländer;priv;priv;3
16.11.2020;tg;2008;Sekundarstufe II;Mittelschule;F;CH;priv;priv;24
16.11.2020;tg;2008;Sekundarstufe II;Brückenangebot;F;Ausländer;oef;oef;37
16.11.2020;tg;2008;Sekundarstufe II;Mittelschule;M;CH;oef;oef;600
16.11.2020;tg;2008;Sekundarstufe II;Berufsfachschule;M;CH;oef;oef;3363
16.11.2020;tg;2008;Sekundarstufe II;Brückenangebot;M;Ausländer;oef;oef;37
16.11.2020;tg;2008;Sekundarstufe II;Berufsfachschule;M;CH;priv;priv;116
16.11.2020;tg;2008;Sekundarstufe II;Heim- und Sonderschule;F;CH;priv;oef;5
16.11.2020;tg;2008;Tertiärstufe;Fachhochschule und pädagogische Hochschule;F;Ausländer;oef;oef;68
16.11.2020;tg;2008;Tertiärstufe;Höhere Berufsbildung;F;CH;priv;priv;13
16.11.2020;tg;2008;Tertiärstufe;Höhere Berufsbildung;F;Ausländer;priv;priv;3
16.11.2020;tg;2008;Tertiärstufe;Fachhochschule und pädagogische Hochschule;M;Ausländer;oef;oef;24
16.11.2020;tg;2008;Tertiärstufe;Höhere Berufsbildung;F;CH;oef;oef;239
16.11.2020;tg;2008;Tertiärstufe;Höhere Berufsbildung;M;Ausländer;priv;priv;2
16.11.2020;tg;2008;Tertiärstufe;Höhere Berufsbildung;F;Ausländer;oef;oef;23
16.11.2020;tg;2008;Tertiärstufe;Höhere Berufsbildung;M;CH;priv;priv;6
16.11.2020;tg;2008;Tertiärstufe;Höhere Berufsbildung;M;Ausländer;oef;oef;3
16.11.2020;tg;2008;Tertiärstufe;Fachhochschule und pädagogische Hochschule;M;CH;oef;oef;55
16.11.2020;tg;2008;Tertiärstufe;Höhere Berufsbildung;M;CH;oef;oef;108
16.11.2020;tg;2008;Tertiärstufe;Fachhochschule und pädagogische Hochschule;F;CH;oef;oef;269
16.11.2020;tg;2009;Kindergartenstufe;Heim- und Sonderschule;M;Ausländer;oef;oef;2
16.11.2020;tg;2009;Kindergartenstufe;Volksschule;M;CH;oef;oef;2039
16.11.2020;tg;2009;Kindergartenstufe;Volksschule;F;CH;priv;priv;8
16.11.2020;tg;2009;Kindergartenstufe;Volksschule;F;Ausländer;priv;priv;16
16.11.2020;tg;2009;Kindergartenstufe;Volksschule;M;CH;priv;priv;10
16.11.2020;tg;2009;Kindergartenstufe;Volksschule;F;CH;oef;oef;1883
16.11.2020;tg;2009;Kindergartenstufe;Heim- und Sonderschule;M;CH;priv;oef;18
16.11.2020;tg;2009;Kindergartenstufe;Heim- und Sonderschule;M;CH;oef;oef;8
16.11.2020;tg;2009;Kindergartenstufe;Heim- und Sonderschule;F;CH;oef;oef;6
16.11.2020;tg;2009;Kindergartenstufe;Heim- und Sonderschule;F;CH;priv;oef;9
16.11.2020;tg;2009;Kindergartenstufe;Volksschule;M;Ausländer;oef;oef;629
16.11.2020;tg;2009;Kindergartenstufe;Volksschule;F;Ausländer;oef;oef;610
16.11.2020;tg;2009;Kindergartenstufe;Heim- und Sonderschule;M;Ausländer;priv;oef;4
16.11.2020;tg;2009;Kindergartenstufe;Volksschule;M;Ausländer;priv;priv;9
16.11.2020;tg;2009;Primarstufe;Volksschule;F;CH;priv;priv;76
16.11.2020;tg;2009;Primarstufe;Heim- und Sonderschule;F;CH;priv;oef;71
16.11.2020;tg;2009;Primarstufe;Volksschule;F;Ausländer;priv;priv;38
16.11.2020;tg;2009;Primarstufe;Volksschule;F;CH;oef;oef;5983
16.11.2020;tg;2009;Primarstufe;Heim- und Sonderschule;F;CH;oef;oef;14
16.11.2020;tg;2009;Primarstufe;Heim- und Sonderschule;M;CH;priv;oef;187
16.11.2020;tg;2009;Primarstufe;Heim- und Sonderschule;M;Ausländer;priv;oef;52
16.11.2020;tg;2009;Primarstufe;Volksschule;M;Ausländer;priv;priv;58
16.11.2020;tg;2009;Primarstufe;Heim- und Sonderschule;F;Ausländer;oef;oef;7
16.11.2020;tg;2009;Primarstufe;Volksschule;M;Ausländer;oef;oef;1712
16.11.2020;tg;2009;Primarstufe;Heim- und Sonderschule;F;Ausländer;priv;oef;25
16.11.2020;tg;2009;Primarstufe;Volksschule;M;CH;oef;oef;6495
16.11.2020;tg;2009;Primarstufe;Volksschule;F;Ausländer;oef;oef;1712
16.11.2020;tg;2009;Primarstufe;Volksschule;M;CH;priv;priv;74
16.11.2020;tg;2009;Primarstufe;Heim- und Sonderschule;M;CH;oef;oef;35
16.11.2020;tg;2009;Primarstufe;Heim- und Sonderschule;M;Ausländer;oef;oef;13
16.11.2020;tg;2009;Sekundarstufe I;Heim- und Sonderschule;M;CH;priv;oef;60
16.11.2020;tg;2009;Sekundarstufe I;Volksschule;M;CH;priv;priv;181
16.11.2020;tg;2009;Sekundarstufe I;Heim- und Sonderschule;M;CH;oef;oef;10
16.11.2020;tg;2009;Sekundarstufe I;Heim- und Sonderschule;F;Ausländer;priv;oef;7
16.11.2020;tg;2009;Sekundarstufe I;Heim- und Sonderschule;F;CH;priv;oef;38
16.11.2020;tg;2009;Sekundarstufe I;Volksschule;F;Ausländer;priv;priv;31
16.11.2020;tg;2009;Sekundarstufe I;Heim- und Sonderschule;F;Ausländer;oef;oef;4
16.11.2020;tg;2009;Sekundarstufe I;Volksschule;F;CH;priv;priv;94
16.11.2020;tg;2009;Sekundarstufe I;Mittelschule;M;Ausländer;oef;oef;11
16.11.2020;tg;2009;Sekundarstufe I;Mittelschule;F;CH;oef;oef;155
16.11.2020;tg;2009;Sekundarstufe I;Mittelschule;M;CH;oef;oef;149
16.11.2020;tg;2009;Sekundarstufe I;Mittelschule;F;Ausländer;oef;oef;5
16.11.2020;tg;2009;Sekundarstufe I;Volksschule;F;Ausländer;oef;oef;846
16.11.2020;tg;2009;Sekundarstufe I;Heim- und Sonderschule;M;Ausländer;oef;oef;6
16.11.2020;tg;2009;Sekundarstufe I;Volksschule;M;Ausländer;oef;oef;876
16.11.2020;tg;2009;Sekundarstufe I;Volksschule;M;CH;oef;oef;3504
16.11.2020;tg;2009;Sekundarstufe I;Volksschule;M;Ausländer;priv;priv;34
16.11.2020;tg;2009;Sekundarstufe I;Volksschule;F;CH;oef;oef;3408
16.11.2020;tg;2009;Sekundarstufe I;Heim- und Sonderschule;M;Ausländer;priv;oef;20
16.11.2020;tg;2009;Sekundarstufe I;Heim- und Sonderschule;F;CH;oef;oef;15
16.11.2020;tg;2009;Sekundarstufe II;Berufsfachschule;F;CH;oef;oef;1956
16.11.2020;tg;2009;Sekundarstufe II;Brückenangebot;F;Ausländer;priv;priv;1
16.11.2020;tg;2009;Sekundarstufe II;Mittelschule;M;Ausländer;oef;oef;64
16.11.2020;tg;2009;Sekundarstufe II;Brückenangebot;F;CH;oef;oef;173
16.11.2020;tg;2009;Sekundarstufe II;Berufsfachschule;F;Ausländer;oef;oef;278
16.11.2020;tg;2009;Sekundarstufe II;Brückenangebot;M;Ausländer;oef;oef;39
16.11.2020;tg;2009;Sekundarstufe II;Mittelschule;F;CH;oef;oef;1221
16.11.2020;tg;2009;Sekundarstufe II;Heim- und Sonderschule;M;CH;priv;oef;17
16.11.2020;tg;2009;Sekundarstufe II;Mittelschule;F;Ausländer;oef;oef;97
16.11.2020;tg;2009;Sekundarstufe II;Heim- und Sonderschule;F;Ausländer;priv;oef;5
16.11.2020;tg;2009;Sekundarstufe II;Mittelschule;M;CH;priv;priv;34
16.11.2020;tg;2009;Sekundarstufe II;Berufsfachschule;M;CH;priv;priv;91
16.11.2020;tg;2009;Sekundarstufe II;Mittelschule;M;Ausländer;priv;priv;6
16.11.2020;tg;2009;Sekundarstufe II;Berufsfachschule;M;Ausländer;priv;priv;19
16.11.2020;tg;2009;Sekundarstufe II;Berufsfachschule;F;CH;priv;priv;45
16.11.2020;tg;2009;Sekundarstufe II;Mittelschule;F;Ausländer;priv;priv;4
16.11.2020;tg;2009;Sekundarstufe II;Brückenangebot;M;CH;oef;oef;95
16.11.2020;tg;2009;Sekundarstufe II;Berufsfachschule;F;Ausländer;priv;priv;10
16.11.2020;tg;2009;Sekundarstufe II;Brückenangebot;F;CH;priv;priv;17
16.11.2020;tg;2009;Sekundarstufe II;Heim- und Sonderschule;F;CH;priv;oef;7
16.11.2020;tg;2009;Sekundarstufe II;Mittelschule;F;CH;priv;priv;29
16.11.2020;tg;2009;Sekundarstufe II;Brückenangebot;M;CH;priv;priv;25
16.11.2020;tg;2009;Sekundarstufe II;Mittelschule;M;CH;oef;oef;658
16.11.2020;tg;2009;Sekundarstufe II;Brückenangebot;F;Ausländer;oef;oef;66
16.11.2020;tg;2009;Sekundarstufe II;Heim- und Sonderschule;M;Ausländer;priv;oef;6
16.11.2020;tg;2009;Sekundarstufe II;Berufsfachschule;M;Ausländer;oef;oef;443
16.11.2020;tg;2009;Sekundarstufe II;Berufsfachschule;M;CH;oef;oef;3343
16.11.2020;tg;2009;Tertiärstufe;Fachhochschule und pädagogische Hochschule;M;CH;oef;oef;66
16.11.2020;tg;2009;Tertiärstufe;Höhere Berufsbildung;F;Ausländer;oef;oef;19
16.11.2020;tg;2009;Tertiärstufe;Höhere Berufsbildung;F;CH;oef;oef;306
16.11.2020;tg;2009;Tertiärstufe;Höhere Berufsbildung;F;Ausländer;priv;priv;3
16.11.2020;tg;2009;Tertiärstufe;Fachhochschule und pädagogische Hochschule;F;Ausländer;oef;oef;113
16.11.2020;tg;2009;Tertiärstufe;Höhere Berufsbildung;M;Ausländer;oef;oef;6
16.11.2020;tg;2009;Tertiärstufe;Höhere Berufsbildung;F;CH;priv;oef;2
16.11.2020;tg;2009;Tertiärstufe;Höhere Berufsbildung;M;CH;oef;oef;148
16.11.2020;tg;2009;Tertiärstufe;Höhere Berufsbildung;M;CH;priv;priv;13
16.11.2020;tg;2009;Tertiärstufe;Fachhochschule und pädagogische Hochschule;M;Ausländer;oef;oef;31
16.11.2020;tg;2009;Tertiärstufe;Höhere Berufsbildung;F;CH;priv;priv;12
16.11.2020;tg;2009;Tertiärstufe;Fachhochschule und pädagogische Hochschule;F;CH;oef;oef;307
16.11.2020;tg;2009;Tertiärstufe;Höhere Berufsbildung;M;CH;priv;oef;10
16.11.2020;tg;2010;Kindergartenstufe;Heim- und Sonderschule;F;CH;priv;oef;12
16.11.2020;tg;2010;Kindergartenstufe;Heim- und Sonderschule;F;Ausländer;priv;oef;3
16.11.2020;tg;2010;Kindergartenstufe;Volksschule;F;CH;priv;priv;6
16.11.2020;tg;2010;Kindergartenstufe;Volksschule;F;CH;oef;oef;1911
16.11.2020;tg;2010;Kindergartenstufe;Heim- und Sonderschule;M;Ausländer;priv;oef;5
16.11.2020;tg;2010;Kindergartenstufe;Volksschule;M;CH;priv;priv;12
16.11.2020;tg;2010;Kindergartenstufe;Volksschule;M;CH;oef;oef;1972
16.11.2020;tg;2010;Kindergartenstufe;Volksschule;M;Ausländer;oef;oef;561
16.11.2020;tg;2010;Kindergartenstufe;Heim- und Sonderschule;M;Ausländer;oef;oef;3
16.11.2020;tg;2010;Kindergartenstufe;Heim- und Sonderschule;F;CH;oef;oef;5
16.11.2020;tg;2010;Kindergartenstufe;Volksschule;F;Ausländer;oef;oef;635
16.11.2020;tg;2010;Kindergartenstufe;Volksschule;F;Ausländer;priv;priv;12
16.11.2020;tg;2010;Kindergartenstufe;Heim- und Sonderschule;M;CH;oef;oef;11
16.11.2020;tg;2010;Kindergartenstufe;Heim- und Sonderschule;M;CH;priv;oef;29
16.11.2020;tg;2010;Kindergartenstufe;Volksschule;M;Ausländer;priv;priv;9
16.11.2020;tg;2010;Primarstufe;Volksschule;F;Ausländer;priv;priv;53
16.11.2020;tg;2010;Primarstufe;Volksschule;F;Ausländer;oef;oef;1743
16.11.2020;tg;2010;Primarstufe;Heim- und Sonderschule;M;Ausländer;oef;oef;16
16.11.2020;tg;2010;Primarstufe;Heim- und Sonderschule;F;Ausländer;oef;oef;5
